Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
Transformer,HouseTwenty,LinearRegression,0.4754,0.2781,0.0136,0.0024,0.0107,0.0017
Transformer,CatsDogs,LinearRegression,0.437,0.1356,0.0295,0.0033,0.0238,0.003
Transformer,Car,LinearRegression,0.0088,0.1435,0.0631,0.005,0.0538,0.0045
Transformer,BeetleFly,LinearRegression,0.0308,0.4742,0.0362,0.0057,0.0284,0.0039
Transformer,CBF,LinearRegression,0.1647,0.3114,0.0481,0.0111,0.0376,0.0065
Transformer,Adiac,LinearRegression,0.4885,0.1673,0.0328,0.0057,0.0258,0.0041
Transformer,Beef,LinearRegression,0.201,0.263,0.0515,0.0044,0.0434,0.0043
Transformer,CounterMovementJump,LinearRegression,0.5171,0.1257,0.0633,0.0082,0.0496,0.0066
Transformer,classification_ozone,LinearRegression,0.0798,0.2973,0.0104,0.0021,0.0078,0.0017
Transformer,RightWhaleCalls,LinearRegression,-0.1941,0.2769,0.0168,0.0025,0.0137,0.002
Transformer,KeplerLightCurves,LinearRegression,0.4544,0.191,0.0284,0.0039,0.0228,0.0032
Transformer,FaultDetectionB,LinearRegression,0.2007,0.4974,0.0568,0.01,0.0419,0.0067
Transformer,EigenWorms,LinearRegression,0.3844,0.0947,0.1289,0.0121,0.1098,0.0121
Transformer,AbnormalHeartbeat,LinearRegression,-0.1364,0.3584,0.0056,0.0011,0.0047,0.0008
Transformer,FiftyWords,LinearRegression,0.6402,0.0928,0.085,0.0083,0.0718,0.007
Transformer,ArrowHead,LinearRegression,0.4,0.1754,0.0432,0.0073,0.0355,0.0064
Transformer,ChlorineConcentration,LinearRegression,0.1271,0.2972,0.0103,0.0025,0.0076,0.0011
Transformer,DucksAndGeese,LinearRegression,0.1376,0.2354,0.0477,0.0087,0.0333,0.0057
Transformer,BinaryHeartbeat,LinearRegression,0.0462,0.4827,0.0086,0.0014,0.0067,0.0011
Transformer,BirdChicken,LinearRegression,0.3414,0.1543,0.0675,0.0062,0.0546,0.0057
Transformer,CinCECGTorso,LinearRegression,0.3586,0.1596,0.129,0.011,0.1076,0.0118
